stock,tick
Carborundum Universal Ltd,CRBR
Career Point Ltd,CARP
Cargosol Logistics Ltd,CARGO
Cargotrans Maritime Ltd,CARG
Carnation Industries Ltd,CAR
Cartrade Tech Ltd,CART
Carysil Ltd,ACR
Caspian Corporate Services Ltd,INT
Castex Technologies Ltd,CASE
Castrol India Ltd,CAST
Catvision Ltd,CATV
Ceejay Finance Ltd,CEEJ
Ceenik Exports (India) Ltd,CEE
Ceeta Industries Ltd,CEET
Ceinsys Tech Ltd,CEI
Celebrity Fashions Ltd,CELF
Cell Point (India) Ltd,CELL
Cella Space Ltd,CEL
Cellecor Gadgets Ltd,CELLE
Cello World Ltd,CELLO
Cenlub Industries Ltd,CENL
Centenial Surgical Suture Ltd,CSU
Central Bank of India Ltd,CBI
Central Depository Services (India) Ltd,CENA
Centrum Capital Ltd,CENC
Centum Electronics Ltd,CENT
Century Enka Ltd,CNTE
Century Extrusions Ltd,CNTX
Century Plyboards (India) Ltd,CNTP
Century Textiles and Industries Ltd,CNTY
Cera Sanitaryware Ltd,CERA
Cerebra Integrated Technologies Ltd,CEIT
Chadha Papers Ltd,CHAD
Chalet Hotels Ltd,CHAL
Challani Capital Ltd,INDOA
Chaman Lal Setia Exports Ltd,CHAMA
Chaman Metallics Ltd,CMN
Chambal Breweries and Distilleries Ltd,CHM
Chambal Fertilisers and Chemicals Ltd,CHMB
Chandni Machines Ltd,CHA
Chandra Bhagat Pharma Ltd,CBP
Chandra Prabhu International Ltd,CHAND
Chandrima Mercantiles Ltd,CHAN
Chartered Capital and Investment Ltd,CHR
Chartered Logistics Ltd,CHL
Chatha Foods Ltd,CHAT
Chavda Infra Ltd,CHAV
Checkpoint Trends Ltd,RUBR
Chembond Chemicals Ltd,CHEM
Chemcon Speciality Chemicals Ltd,CHEMC
Chemcrux Enterprises Ltd,CHE
Chemfab Alkalis Ltd,CHMF
Chemo Pharma Laboratories Ltd,CHEMO
Chemplast Sanmar Ltd,CHEMP
Chemtech Industrial Valves Ltd,CHEMT
Chennai Ferrous Industries Ltd,CHEN
Chennai Meenakshi Multispeciality Hospital Ltd,CMM
Chennai Petroleum Corporation Ltd,CHPC
Cheviot Co Ltd,CHEV
Choice International Ltd,CHOI
Choksi Imaging Ltd,CHOK
Choksi Laboratories Ltd,CHOKS
Cholamandalam Financial Holdings Ltd,CHOL
Cholamandalam Investment and Finance Company Ltd,CHLA
Chordia Food Products Ltd,CHOR
Chothani Foods Ltd,CHO
Chowgule Steamships Ltd,CHOW
Chrome Silicon Ltd,VBC
Cian Agro Industries & Infrastructure Ltd,CIA
Cian Healthcare Ltd,CHC
Cigniti Technologies Ltd,CIGN
Cindrella Financial Services Ltd,CIN
Cindrella Hotels Ltd,CIND
Cineline India Ltd,CIIN
Cinerad Communications Ltd,CINER
Cinevista Ltd,CINE
Cipla Ltd,CIPL
Citadel Realty and Developers Ltd,CITA
Citi Port Financial Services Ltd,CITI
City Crops Agro Ltd,CCA
City Online Services Ltd,CITYO
City Union Bank Ltd,CTBK
Clara Industries Ltd,CLAR
Classic Electricals Ltd,CLA
Classic Filaments Ltd,CFL
Classic Leasing & Finance Ltd,CLF
Clean Science and Technology Ltd,CLE
Clio Infotech Ltd,CLI
Coal India Ltd,COAL
Coastal Corporation Ltd,COA
Coastal Roadways Ltd,COAR
Cochin Minerals and Rutile Ltd,COC
Cochin Shipyard Ltd,COCH
Coffee Day Enterprises Ltd,CODE
Coforge Ltd,COFO
Colab Cloud Platforms Ltd,JSG
Colgate-Palmolive (India) Ltd,COLG
Colinz Laboratories Ltd,COLI
Colorchips New Media Ltd,COL
Comfort Commotrade Ltd,COM
Comfort Fincap Ltd,COMF
Comfort Intech Ltd,COMFI
Command Polymers Ltd,COMMA
Commercial Syn Bags Ltd,COMS
Committed Cargo Care Ltd,COMMI
Competent Automobiles Company Ltd,COMP
Compuage Infocom Ltd,COMI
Compucom Software Ltd,CMPU
Computer Age Management Services Ltd,CAMC
Computer Point Ltd,COMPU
Comrade Appliances Ltd,COMR
Conart Engineers Ltd,CONA
Concord Biotech Ltd,CONCO
Concord Control Systems Ltd,CNC
Concord Drugs Ltd,CONC
Confidence Futuristic Energetech Ltd,CFE
Confidence Petroleum India Ltd,CONF
Consecutive Investments & Trading Co Ltd,CIT
Consolidated Finvest & Holdings Ltd,CONS
Constronics Infra Ltd,CONST
Containe Technologies Ltd,CONTN
Container Corporation of India Ltd,CCRI
Contil India Ltd,CONTI
Continental Chemicals Ltd,CONTC
Continental Controls Ltd,CONT
Continental Petroleums Ltd,CONTP
Continental Securities Ltd,CSL
Continental Seeds and Chemicals Ltd,COTN
Control Print Ltd,CONP
Cool Caps Industries Ltd,COO
Coral India Finance and Housing Ltd,CORI
Coral Laboratories Ltd,CORA
Coral Newsprints Ltd,CORN
Cords Cable Industries Ltd,CCIL
Coromandel Agro Products and Oils Ltd,COR
Coromandel International Ltd,CORF
Corporate Merchant Bankers Ltd,CMB
Cosmic CRF Ltd,COSMI
Cosmo Ferrites Ltd,COSM
Cosmo First Ltd,CSFL
Cospower Engineering Ltd,COS
Country Club Hospitality & Holidays Ltd,COUN
Country Condo's Ltd,COCO
Craftsman Automation Ltd,CRAF
Crane Infrastructure Ltd,CRA
Cranes Software International Ltd,CRAS
Cranex Ltd,CRAN
Cravatex Ltd,CRAV
Crayons Advertising Ltd,CRAY
Creative Castings Ltd,CRE
Creative Eye Ltd,CEYE
Creative Graphics Solutions India Ltd,CGR
Creative Newtech Ltd,CREA
Credent Global Finance Ltd,ORA
CreditAccess Grameen Ltd,CRDE
Credo Brands Marketing Ltd,MUF
Cressanda Railway Solutions Ltd,CRES
Crest Ventures Ltd,CRSV
Crestchem Ltd,CRS
Crimson Metal Engineering Company Ltd,CRI
Croissance Ltd,SWAG
Crompton Greaves Consumer Electricals Ltd,CROP
Crop Life Science Ltd,CLS
Cropster Agro Ltd,ZPP
Crown Lifters Ltd,CROW
Cube Highways Trust,CUBEI
Cubex Tubings Ltd,CUBE
Cubical Financial Services Ltd,CUB
Cummins India Ltd,CUMM
Cupid Ltd,CUCO
Cybele Industries Ltd,CYBEL
Cyber Media (India) Ltd,CYBM
Cyber Media Research & Services Ltd,CMR
Cybertech Systems and Software Ltd,CTSS
Cyient DLM Ltd,CYI
Cyient Ltd,CYIE
D & H India Ltd,DHI
D Link (India) Limited,DLIL
D P Abhushan Ltd,DPAB
D P Wires Ltd,DPWI
DAPS Advertising Ltd,DAP
DB (International) Stock Brokers Ltd,DBSB
DB Corp Ltd,DBCL
DC Infotech and Communication Ltd,DCIN
DCB Bank Ltd,DCBA
DCG Cables & Wires Ltd,DCG
DCM Financial Services Ltd,DCFS
DCM Nouvelle Ltd,DCMN
DCM Shriram Ltd,DCMS
DCW Ltd,DCWL
DCX Systems Ltd,DCX
DECO MICA Ltd,DECO
DEN Networks Ltd,DENN
DEV Information Technology Ltd,DEVN
DHP India Ltd,DHP
DIC India Ltd,DICI
DIGJAM Ltd,DIGJ
DISA India Ltd,GEO
DJ Mediaprint & Logistics Ltd,DJM
DK Enterprises Global Ltd,DKE
DLF Ltd,DLF
DMCC Speciality Chemicals Ltd,DHARA
DRA Consultants Ltd,DRA
DRC Systems India Ltd,DRC
DRS Cargo Movers Ltd,DRS
DRS Dilip Roadlines Ltd,DRSD
DSJ Keep Learning Ltd,DLCM
DSP Gold ETF,DSPG
DSP NIFTY 1D Rate Liquid ETF,DSPL
DSP Nifty 50 ETF,DSPN
DSP Nifty Bank ETF,DSPB
DSP Nifty Healthcare ETF,HEALA
DSP Nifty IT ETF,DSPI
DSP Nifty Midcap 150 Quality 50 ETF,DSPQ
DSP Nifty PSU Bank ETF,DSPP
DSP Nifty Private Bank ETF,DSPPV
DSP Nifty50 Equal weight ETF,DSP
DSP S&P BSE Liquid Rate ETF,LIQUD
DSP S&P BSE Sensex ETF,DSPSE
DSP Silver ETF,DSPS
DU Digital Global Ltd,DUD
Dabur India Ltd,DABU
Dai Ichi Karkaria Ltd,DAIC
Daikaffil Chemicals India Ltd,DAI
Dalal Street Investments Ltd,DSI
Dalmia Bharat Ltd,DALB
Dalmia Bharat Sugar and Industries Ltd,DLMI
Damodar Industries Ltd,DAMD
Dangee Dums Ltd,DANG
Danlaw Technologies India Ltd,DANL
Danube Industries Ltd,DAN
Darshan Orna Ltd,DAR
Data Infrastructure Trust,TOW
Data Patterns (India) Ltd,DATAP
Datamatics Global Services Ltd,DATC
Datasoft Application Software (India) Ltd,DATA
Datiware Maritime Infra Ltd,DAT
Daulat Securities Ltd,DAU
Davangere Sugar Company Ltd,DAV
Dcm Ltd,DCML
Dcm Shriram Industries Ltd,DCM
Ddev Plastiks Industries Ltd,DDE
De Neers Tools Ltd,DENE
De Nora India Ltd,DENO
Debock Industries Ltd,DEBO
Deccan Bearings Ltd,DECA
Deccan Cements Ltd,DCNC
Deccan Gold Mines Ltd,DECN
Deccan Health Care Ltd,DEC
Decillion Finance Ltd,DFL
Decipher Labs Ltd,DECI
Decorous Investment and Trading Co Ltd,DIT
Deem Roll Tech Ltd,DEEM
Deep Diamond India Ltd,DDI
Deep Energy Resources Ltd,DEIN
Deep Industries Ltd,DEEPI
Deep Polymers Ltd,DEE
Deepak Chemtex Ltd,DEEPA
Deepak Fertilisers and Petrochemicals Corp Ltd,DPFE
Deepak Nitrite Ltd,DPNT
Deepak Spinners Ltd,DEEP
Dekson Castings Ltd,DEK
Delhivery Ltd,DELH
Delphi World Money Ltd,EBIW
Delta Corp Ltd,DELT
Delta Industrial Resources Ltd,DELTA
Delta Manufacturing Ltd,DLTA
Delton Cables Ltd,DLT
Denis Chem Lab Ltd,DEN
Desh Rakshak Aushdhalaya Ltd,DES
Destiny Logistics & Infra Ltd,DEST
Dev Labtech Venture Ltd,DEVL
Devine Impex Ltd,DEVI
Devinsu Trading Ltd,DEVIT
Devyani International Ltd,DEVY
Dhabriya Polywood Ltd,DHAB
Dhampur Bio Organics Ltd,DBO
Dhampur Sugar Mills Ltd,DAMS
Dhampure Speciality Sugars Ltd,DHAMP
Dhanalaxmi Roto Spinners Ltd,DHANR
Dhanashree Electronics Ltd,DED
Dhani Services Ltd,INDB
Dhanlaxmi Bank Ltd,DNBK
Dhanlaxmi Cotex Ltd,DHANC
Dhanlaxmi Fabrics Ltd,DHANF
Dhanuka Agritech Ltd,DHNP
Dhanuka Realty Ltd,DHAU
Dhanvantri Jeevan Rekha Ltd,ZDH
Dharani Finance Ltd,DHAR
Dharmaj Crop Guard Ltd,DHARM
Dharni Capital Services Ltd,DHARN
Dhatre Udyog Ltd,NAR
Dhoot Industrial Finance Ltd,DHO
Dhruv Consultancy Services Ltd,DHR
Dhruva Capital Services Ltd,DHRU
Dhunseri Investments Ltd,DHUS
Dhunseri Tea & Industries Ltd,DHUT
Dhunseri Ventures Ltd,DHUN
Dhyaani Tradeventtures Ltd,DHYA
Diamines and Chemicals Ltd,DIAMI
Diamond Power Infrastructure Ltd,DIAC
Diana Tea Co Ltd,DIAN
Diggi Multitrade Ltd,DML
Digicontent Ltd,DIGC
Digidrive Distributors Ltd,DIGID
Digikore Studios Ltd,DIGI
Digispice Technologies Ltd,DIGS
Digital Fibre Infrastructure Trust,DIG
Diksat Transworld Ltd,DIK
Diksha Greens Ltd,DGL
Diligent Industries Ltd,DIL
Diligent Media Corporation Ltd,DILG
Dilip Buildcon Ltd,DIBL
Dipna Pharmachem Ltd,DPL
Dish TV India Ltd,DSTV
Disha Resources Ltd,DRL
Dishman Carbogen Amcis Ltd,DSHM
Divgi TorqTransfer Systems Ltd,DIVG
Divi's Laboratories Ltd,DIVI
Divyashakti Ltd,DIVS
Dixon Technologies (India) Ltd,DIXO
Dmr Hydroengineering & Infrastructures Ltd,DMR
DocMode Health Technologies Ltd,DHT
Dodla Dairy Ltd,DOD
Dolat Algotech Ltd,DOLA
Dolfin Rubbers Ltd,DOL
Dollar Industries Ltd,DLLA
Dollex Agrotech Ltd,DOLL
Dolphin Offshore Enterprises (India) Ltd,DOLP
Doms Industries Ltd,DOM
Donear Industries Ltd,DONE
Dr Agarwal's Eye Hospital Ltd,DRAG
Dr Lalchandani Labs Ltd,DLC
Dr Reddy's Laboratories Ltd,REDY
Dr. Lal PathLabs Ltd,DLPA
Dreamfolks Services Ltd,DRE
Dredging Corporation of India Ltd,DRDG
Drone Destination Ltd,DRON
Droneacharya Aerial Innovations Ltd,DRO
Ducol Organics & Colours Ltd,DUC
Ducon Infratechnologies Ltd,DUCO
Dugar Housing Developments Ltd,DUG
Duke Offshore Ltd,DUK
Duncan Engineering Ltd,DUN
Duropack Ltd,DUR
Duroply Industries Ltd,DURO
Dutron Polymers Ltd,DUT
Dwarikesh Sugar Industries Ltd,DWAR
Dynacons Systems and Solutions Ltd,DSSL
Dynamatic Technologies Ltd,DYNM
Dynamic Archistructures Ltd,DAL
Dynamic Cables Ltd,DYN
Dynamic Industries Ltd,DYNAM
Dynamic Portfolio Management & Services Ltd,DYNA
Dynamic Services & Security Ltd,DYNAI
Dynavision Ltd,DYNAV
Dynemic Products Ltd,DYPR
delaPlex Ltd,DELA
E Factor Experiences Ltd,EFA
E I D-Parry (India) Ltd,EIDP
E L Forge Ltd,ELF
E-Land Apparel Ltd,EAND
E2E Networks Ltd,EENE
EFC (I) Ltd,AMAN
EIH Associated Hotels Ltd,EIHA
EIH Ltd,EIHO
EKI Energy Services Ltd,EKI
ELANTAS Beck India Ltd,DRB
ELGI Rubber Co Ltd,ELGT
EMA India Ltd,EMA
EMS Ltd,EMS
EP Biocomposites Ltd,EPB
EPIC Energy Ltd,EPI
EPL Ltd,ESSL
ESAB India Ltd,ESAB
ESAF Small Finance Bank Limited,ESAF
ETT Ltd,ETT
EVOQ Remedies Ltd,EVO
Earthstahl & Alloys Ltd,EART
East West Holdings Ltd,EAS
Eastcoast Steel Ltd,EST
Eastern Treads Ltd,EASTR
Easun Capital Markets Ltd,EASUN
Easy Fincorp Ltd,WEI
Easy Trip Planners Ltd,EASE
Eclerx Services Ltd,ECLE
Eco Hotels and Resorts Ltd,SHARD
Eco Recycling Ltd,ECOR
Ecoboard Industries Ltd,WESTE
Econo Trade (India) Ltd,ETI
Ecoplast Ltd,ECOP
Ecs Biztech Ltd,ECS
Edelweiss ETF-Nifty Bank,EDEW
Edelweiss Financial Services Ltd,EDEL
Edelweiss Gold ETF,EGO
Edelweiss Nifty 50 ETF,EETS
Edelweiss Silver ETF,ESI
Educomp Solutions Ltd,EDSO
Edvenswa Enterprises Ltd,KLK
Eicher Motors Ltd,EICH
Eighty Jewellers Ltd,EIG
Eiko Lifesciences Ltd,NID
Eimco Elecon (India) Ltd,EIMC
Ekam Leasing and Finance Co Ltd,EKA
Ekansh Concepts Ltd,PARA
Ekennis Software Service Ltd,EKE
Elango Industries Ltd,ELA
Elcid Investments Ltd,ELC
Eldeco Housing and Industries Ltd,ELD
Elecon Engineering Company Ltd,ELCN
Electro Force (India) Ltd,EFO
Electronics Mart India Ltd,EMI
Electrosteel Castings Ltd,ELST
Electrotherm (India) Ltd,ELTH
Elegant Floriculture & Agrotech (India) Ltd,ELEF
Elegant Marbles and Grani Industries Ltd,ELE
Elgi Equipments Ltd,ELGE
Elin Electronics Ltd,ELIN
Elitecon International Ltd,ELI
Elixir Capital Ltd,ELIX
Elnet Technologies Ltd,ENET
Elpro International Ltd,ELP
Emami Ltd,EMAM
Emami Paper Mills Ltd,EMAP
Emami Realty Ltd,EMMI
Embassy Office Parks REIT,EMBA
Emerald Finance Ltd,EME
Emerald Leisures Ltd,EMER
Emergent Industrial Solutions Ltd,SRIO
Emkay Global Financial Services Ltd,EMKS
Emkay Taps and Cutting Tools Ltd,EMKY
Emmbi Industries Ltd,EMMB
Emmessar Biotech and Nutrition Ltd,EMME
Emmforce Autotech Ltd,EMMF
Empee Distilleries Ltd,EMDI
Empire Industries Ltd,EMPI
Empower India Ltd,EMP
Enbee Trade and Finance Ltd,ENB
Encash Entertainment Ltd,ENC
Encode Packaging India Ltd,NOVAP
Endurance Technologies Ltd,ENDU
Energy Development Company Ltd,EDCO
Enfuse Solutions Ltd,ENF
Engineers India Ltd,ENGI
Enkei Wheels (India) Ltd,ENK
Enser Communications Ltd,ENSE
Entero Healthcare Solutions Ltd,ENTE
Enterprise International Ltd,ENT
Entertainment Network (India) Ltd,ENIL
Envair Electrodyne Ltd,KIRLO
Epack Durable Ltd,EPA
Epigral Ltd,MFM
Epsom Properties Ltd,EPS
Epuja Spiritech Ltd,SAGAR
Equippp Social Impact Technologies Ltd,PROS
Equitas Small Finance Bank Ltd,EQU
Eraaya Lifespaces Ltd,JRE
Eris Lifesciences Ltd,ERIS
Eros International Media Ltd,EROS
Erp Soft Systems Ltd,ERP
Esaar (India) Ltd,ESA
Esconet Technologies Ltd,ESCON
Escorp Asset Management Ltd,ESC
Escorts Kubota Ltd,ESCO
Esha Media Research Ltd,ESH
Espire Hospitality Ltd,WEL
Essar Shipping Ltd,ESPL
Essen Speciality Films Ltd,ESF
Ester Industries Ltd,ESTR
Ethos Ltd,ETH
Euphoria Infotech (India) Ltd,EUP
Eureka Forbes Ltd,EUREK
Eureka Industries Ltd,EURE
Euro Asia Exports Ltd,EUR
Euro India Fresh Foods Ltd,EURN
Euro Panel Products Ltd,EUROB
Euro-Leder Fashion Ltd,EUROL
Eurotex Industries and Exports Ltd,EURO
Evans Electric Ltd,EVA
Eveready Industries India Ltd,ERDY
Everest Industries Ltd,EVRI
Everest Kanto Cylinder Ltd,EKCL
Everest Organics Ltd,EVE
Everlon Financials Ltd,EVER
Evexia Lifecare Ltd,KAV
Excel Industries Ltd,EXCI
Excel Realty N Infra Ltd,EXCE
Exhicon Events Media Solutions Ltd,EXH
Exicom Tele-Systems Ltd,EXI
Exide Industries Ltd,EXID
Expleo Solutions Ltd,EXPL
Explicit Finance Ltd,EXP
Expo Gas Containers Ltd,EXPO
Exxaro Tiles Ltd,EXX
Eyantra Ventures Ltd,PUNI
eMudhra Ltd,EMU
F D C Ltd,FDC
F G P Ltd,FGP
F Mec International Financial Services Ltd,FME
FCS Software Solutions Ltd,FCSS
Faalcon Concepts Ltd,FAA
Fabino Life Sciences Ltd,FABI
Facor Alloys Ltd,FACO
Fairchem Organics Ltd,FAI
Family Care Hospitals Ltd,SCAN
Faze Three Ltd,FAZE
Fedbank Financial Services Ltd,FEDF
Federal Bank Ltd,FED
Federal-Mogul Goetze (India) Ltd,FEDM
Felix Industries Ltd,FELX
Fermenta Biotech Ltd,FERM
Fertilisers And Chemicals Travancore Ltd,FCTL
Fervent Synergies Ltd,FER
Fiberweb (India) Ltd,FIB
Fidel Softech Ltd,FID
Fiem Industries Ltd,FIIN
Filatex Fashions Ltd,FILA
Filatex India Ltd,FLTX
Filtra Consultants and Engineers Ltd,FIL
Fine Organic Industries Ltd,FINO
Fineotex Chemical Ltd,FINE
Finkurve Financial Services Ltd,FINK
Fino Payments Bank Ltd,FINOP
Finolex Cables Ltd,FNXC
Finolex Industries Ltd,FINX
First Custodian Fund (India) Ltd,STCU
First Fintec Ltd,FIR
Firstsource Solutions Ltd,FISO
Fischer Medical Ventures Ltd,FIS
Five Core Electronics Ltd,FIVC
Five-Star Business Finance Ltd,FIVES
Flair Writing Industries Ltd,FLAI
Flex Foods Ltd,FLE
Flexituff Ventures International Ltd,FLEI
Flomic Global Logistics Ltd,ZVI
Flora Corporation Ltd,FLOR
Flora Textiles Ltd,FLO
Fluidomat Ltd,FLU
Foce India Ltd,FOCE
Focus Business Solution Ltd,FOCU
Focus Lighting and Fixtures Ltd,FOCS
Fone4 Communications(India) Ltd,FON
Fonebox Retail Ltd,FONE
Foods and Inns Ltd,FOO
Forbes & Company Ltd,FORB
Force Motors Ltd,FORC
Fortis Healthcare Ltd,FOHE
Fortis Malar Hospitals Ltd,FORTI
Fortune International Ltd,FOR
Foseco India Ltd,FSCO
Foundry Fuel Products Ltd,FFP
Franklin Industries Ltd,FRAN
Franklin Leasing and Finance Ltd,FRA
Fraser and Co Ltd,FRAS
Fredun Pharmaceuticals Ltd,FRE
Freshtrop Fruits Ltd,FRS
Frog Cellsat Ltd,FROG
Frontier Capital Ltd,FRONC
Frontier Springs Ltd,FRONS
Frontline corporation Ltd,FRO
Fruition venture Ltd,FRU
Fsn E-Commerce Ventures Ltd,NYK
Fundviser Capital (India) Ltd,FUND
Fusion Micro Finance Ltd,FUS
Future Consumer Ltd,FTRE
Future Enterprises Ltd,FURE
Future Enterprises Ltd,FURdv
Future Lifestyle Fashions Ltd,FLFL
Future Market Networks Ltd,FMNL
Future Retail Ltd,FRTL
Future Supply Chain Solutions Ltd,FUTE
Futuristic Securities Ltd,FUTU
Futuristic Solutions Ltd,FUT
G D L Leasing and Finance Ltd,GDL
G D Trading and Agencies Ltd,GDT
G G Dandekar Properties Ltd,GGD
G G Engineering Ltd,GGE
G K Consultants Ltd,GKC
G K P Printing & Packaging Ltd,GKP
G M Breweries Ltd,GMBR
G M Polyplast Ltd,GMP
G R Infraprojects Ltd,GRI
G-Tec Jainx Education Ltd,KEET
G. G. Automotive Gears Ltd,GGA
G.S. Auto International Ltd,GSA
GACM Technologies Ltd,STAM
GCM Capital Advisors Ltd,GCM
GCM Commodity & Derivatives Ltd,GCMC
GCM Securities Ltd,GCMS
GEE Ltd,GEG
GFL Ltd,GFLL
GHCL Ltd,GHCH
GHCL Textiles Ltd,GHC
GIC Housing Finance Ltd,GICH
GIR Natureview Resorts Ltd,GIRN
GKB Ophthalmics Ltd,GKB
GKW Ltd,GKWL
GMM Pfaudler Ltd,GMMP
GMR Airports Infrastructure Ltd,GMRI
GMR Power and Urban Infra Ltd,GMR
GNA Axles Ltd,GNAA
GP Petroleums Ltd,GPPE
GPT Healthcare Ltd,GPT
GPT Infraprojects Ltd,GPTI
GRM Overseas Ltd,GRM
GRP Ltd,GRPI
GSB Finance Ltd,GSB
GSL Securities Ltd,GSLS
GSS Infotech Ltd,GSSI
GTL Infrastructure Ltd,GTLI
GTL Ltd,GTL
GTN Industries Ltd,GTN
GTN Textiles Ltd,GTNT
GTPL Hathway Ltd,GTPH
GTV Engineering Ltd,GTV
GV Films Ltd,GVF
GVK Power & Infrastructure Ltd,GVKP
GVP Infotech Ltd,FOUT
Gabriel India Ltd,GABR
Gabriel Pet Straps Ltd,GPS
Gaekwar Mills Ltd,ZGA
Gagan Gases Ltd,GAGA
Gail (India) Ltd,GAIL
Gajanan Securities Services Ltd,GAJ
Gala Global Products Ltd,GGP
Galactico Corporate Services Ltd,GAL
Galada Finance Ltd,GALAD
Galaxy Agrico Exports Ltd,GALA
Galaxy Bearings Ltd,GALXB
Galaxy Cloud Kitchens Ltd,GCK
Galaxy Surfactants Ltd,GALX
Gallantt Ispat Ltd,GALM
Gallops Enterprise Ltd,GALL
Gandhar Oil Refinery (INDIA) Ltd,GAND
Gandhi Special Tubes Ltd,GDTB
Ganesh Benzoplast Ltd,GANES
Ganesh Holdings Ltd,GANH
Ganesh Housing Corp Ltd,GHFC
Ganesha Ecosphere Ltd,GANS
Ganesha Ecoverse Ltd,SVP
Ganga Forging Ltd,GANF
Ganga Papers India Ltd,GAN
Ganga Pharmaceuticals Ltd,GANGA
Ganges Securities Ltd,GNGE
Gangotri Textiles Ltd,GANG
Ganon Products Ltd,GANO
Garbi Finvest Ltd,GARB
Garden Reach Shipbuilders & Engineers Ltd,GRSE
Garden Silk Mills Ltd,GARD
Garg Furnace Ltd,GARG
Garment Mantra Lifestyle Ltd,GAR
Garnet Construction Ltd,GARNE
Garnet International Ltd,GARN
Garodia Chemicals Ltd,GARO
Garware Hi-Tech Films Ltd,GARWR
Garware Marine Industries Ltd,GARWA
Garware Synthetics Ltd,GARW
Garware Technical Fibres Ltd,GRWL
Gateway Distriparks Ltd,GAT
Gautam Exim Ltd,GEL
Gautam Gems Ltd,GGL
Gayatri BioOrganics Ltd,GAYA
Gayatri Highways Ltd,GYAT
Gayatri Projects Ltd,GAPR
Gayatri Rubbers and Chemicals Ltd,GRCL
Gayatri Sugars Ltd,GAY
Gconnect Logitech and Supply Chain Ltd,GCO
Ge Power India Ltd,GEPO
Ge T&D India Ltd,GETD
GeeCee Ventures Ltd,GECE
Geekay Wires Ltd,GEEK
Gem Spinners India Ltd,GEMS
Gemstone Investments Ltd,GEM
General Insurance Corporation of India,GENA
Generic Engineering Construction and Projects Ltd,GENC
Genesys International Corporation Ltd,GENS
Gennex Laboratories Ltd,GENN
Genomic Valley Biotech Ltd,GVB
Genpharmasec Ltd,GENP
Gensol Engineering Ltd,GEN
Genus Paper & Boards Ltd,GEUS
Genus Power Infrastructures Ltd,GEOE
Genus Prime Infra Ltd,GENU
Geojit Financial Services Ltd,GEOJ
Getalong Enterprise Ltd,GET
Gian Life Care Ltd,GIA
Gilada Finance and Investments Ltd,GIL
Gillanders Arbuthnot & Co Ltd,GIAR
Gillette India Ltd,GILE
Gini Silk Mills Ltd,GIN
Ginni Filaments Ltd,GNNI
Girdharilal Sugar and Allied Industries Ltd,GIRD
Giriraj Civil Developers Ltd,GIRI
Gita Renewable Energy Ltd,GIT
Glance Finance Ltd,GLA
Gland Pharma Ltd,GLAN
GlaxoSmithKline Pharmaceuticals Ltd,GLAX
Glenmark Life Sciences Ltd,GLS
Glenmark Pharmaceuticals Ltd,GLEN
Glittek Granites Ltd,GLI
Global Capital Markets Ltd,GLOBA
Global Education Ltd,GLOL
Global Health Ltd,MEDA
Global Longlife Hospital and Research Ltd,GLH
Global Offshore Services Ltd,GLSH
Global Pet Industries Ltd,GLOBL
Global Surfaces Ltd,GSLSU
Global Vectra Helicorp Ltd,GLVE
Globalspace Technologies Ltd,GST
Globe International Carriers Ltd,GLOR
Globe Multi Ventures Ltd,GLC
Globe Textiles (India) Ltd,GLOX
Globesecure Technologies Ltd,GSTL
Globus Power Generation Ltd,GLOBU
Globus Spirits Ltd,GLOS
Gloster Ltd,GLO
Go Fashion (India) Ltd,GOC
Goa Carbon Ltd,GOAC
Goblin India Ltd,GOB
Gocl Corporation Ltd,GOCL
Godavari Drugs Ltd,GOD
Godawari Power and Ispat Ltd,GDPI
Godfrey Phillips India Ltd,GDFR
Godha Cabcon & Insulation Ltd,GODH
Godrej Agrovet Ltd,GODE
Godrej Consumer Products Ltd,GOCP
Godrej Industries Ltd,GODI
Godrej Properties Ltd,GODR
Goel Food Products Ltd,GOE
Goenka Business & Finance Ltd,GBF
Goenka Diamond And Jewels Ltd,GOEN
Gogia Capital Services Ltd,GOG
Gokak Textiles Ltd,GOKA
Gokaldas Exports Ltd,GOKL
Gokul Agro Resources Ltd,GOKG
Gokul Refoils and Solvent Ltd,GOKU
Gold Rock Investments Ltd,ZGO
Goldcoin Health Foods Ltd,GOLDC
Golden Crest Education & Services Ltd,GOL
Golden Tobacco Ltd,GLDN
Goldiam International Ltd,GOLI
Goldkart Jewels Ltd,SONH
Goldstar Power Ltd,GDST
Golechha Global Finance Ltd,GOLE
Golkonda Aluminium Extrusions Ltd,GOLKO
Golkunda Diamonds and Jewellery Ltd,GOLK
Good Value Irrigation Ltd,GOV
Goodluck India Ltd,GLST
Goodricke Group Ltd,GOOD
Goodyear India Ltd,GOODY
Gopal Iron and Steels Company (Gujarat) Ltd,GOP
Gopal Snacks Ltd,GOPAL
Gorani Industries Ltd,GOR
Gothi Plascon (India) Ltd,GOT
Gowra Leasing and Finance Ltd,GOW
Goyal Aluminiums Ltd,ADV
Goyal Associates Ltd,GOY
Goyal Salt Ltd,GOYA
Gracious Software Ltd,GSL
Grand Foundry Ltd,GRND
Granules India Ltd,GRAN
Graphisads Ltd,GRAP
Graphite India Ltd,GRPH
Grasim Industries Ltd- Partly Paidup,GRASI
Grasim Industries Ltd,GRAS
Gratex Industries Ltd,GRAT
